method,label,rule,support,precision,recall,lift
tree,HV_q,num__credit_amount <= 0.7684 AND cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= -0.9289 AND cat__job_unskilled resident <= 0.5 OR num__credit_amount <= 0.7684 AND cat__other_payment_plans_bank > 0.5 AND num__credit_amount <= -0.1086 AND cat__purpose_radio/tv <= 0.5 OR num__credit_amo,41,0.4878048780487805,1.0,4.878048780487805
l1_logreg,HV_q,cat__other_payment_plans_bank=+0.5517 | cat__credit_history_existing paid=-0.4792 | cat__job_unemp/unskilled non res=+0.3853 | cat__purpose_furniture/equipment=-0.2692 | num__credit_amount=+0.2251 | cat__credit_history_no credits/all paid=+0.2127 | cat__other_parties_none=-0.1905 | cat__personal_sta,39,0.46153846153846156,0.9,4.615384615384615
cluster_describe,HV_q,Cluster0: num__credit_amount <= -0.8609 AND cat__purpose_new car <= 0.5 AND num__age <= -0.6642,28,0.35714285714285715,0.5,3.571428571428571
cluster_describe,HV_q,Cluster0: num__credit_amount <= -0.8609 AND cat__purpose_new car > 0.5 AND cat__other_payment_plans_bank <= 0.5,28,0.35714285714285715,0.5,3.571428571428571
cluster_describe,HV_q,Cluster0: num__credit_amount <= -0.8609 AND cat__purpose_new car > 0.5 AND cat__other_payment_plans_bank > 0.5,28,0.35714285714285715,0.5,3.571428571428571
cluster_describe,HV_q,Cluster0: num__credit_amount > -0.8609 AND cat__other_payment_plans_bank > 0.5 AND num__credit_amount <= -0.1086,28,0.35714285714285715,0.5,3.571428571428571
cluster_describe,HV_q,Cluster1: num__credit_amount > 0.7684 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5,19,0.5263157894736842,0.5,5.263157894736842
beam_search,HV_q,cat__other_payment_plans_bank > 0 AND num__duration > -0.2577 AND cat__property_magnitude_car <= 0,10,0.6,0.3,5.999999999999999
beam_search,HV_q,cat__other_payment_plans_bank > 0 AND num__duration > -0.2577 AND num__existing_credits <= -0.6965,11,0.5454545454545454,0.3,5.454545454545454
beam_search,HV_q,cat__other_payment_plans_bank > 0 AND cat__job_skilled > 0 AND cat__savings_status_<100 > 0,11,0.5454545454545454,0.3,5.454545454545454
beam_search,HV_q,cat__other_payment_plans_bank > 0 AND cat__job_skilled > 0 AND cat__property_magnitude_life insurance <= 0,13,0.5384615384615384,0.35,5.384615384615384
beam_search,HV_q,cat__other_payment_plans_bank > 0 AND cat__employment_1<=X<4 > 0,11,0.45454545454545453,0.25,4.545454545454545
tree,HH,num__credit_amount > 2.467 AND num__age <= -0.05973,5,0.6,1.0,40.0
l1_logreg,HH,cat__purpose_other=+3.029 | cat__other_parties_co applicant=+2.532 | num__credit_amount=+1.824 | cat__other_parties_none=-0.489 | cat__property_magnitude_car=+0.4779 | num__installment_commitment=-0.4383 | cat__purpose_furniture/equipment=+0.3613 | cat__employment_<1=+0.3225 | cat__credit_history_ex,14,0.21428571428571427,1.0,14.285714285714285
cluster_describe,HH,(no clusters),0,0.0,0.0,0.0
beam_search,HH,cat__job_high qualif/self emp/mgmt > 0 AND num__installment_commitment <= -0.8598,10,0.2,0.6666666666666666,13.333333333333334
beam_search,HH,cat__job_high qualif/self emp/mgmt > 0 AND cat__checking_status_0<=X<200 > 0,10,0.2,0.6666666666666666,13.333333333333334
beam_search,HH,cat__job_high qualif/self emp/mgmt > 0 AND cat__employment_1<=X<4 > 0,10,0.2,0.6666666666666666,13.333333333333334
beam_search,HH,cat__job_high qualif/self emp/mgmt > 0 AND num__installment_commitment <= -0.8598 AND num__credit_amount > -0.689,10,0.2,0.6666666666666666,13.333333333333334
beam_search,HH,cat__job_high qualif/self emp/mgmt > 0 AND num__installment_commitment <= -0.8598 AND num__credit_amount > -0.3109,10,0.2,0.6666666666666666,13.333333333333334
